institution name	HD2018.City location of institution	HD2018.State abbreviation	HD2018.Level of institution	HD2018.Control of institution	HD2018.Highest level of offering	HD2018.Highest degree offered	HD2018.Institution has hospital	HD2018.Historically Black College or University	HD2018.Tribal college	IC2018.Open admission policy	HD2018.Degree of urbanization (Urban-centric locale)	Setting	HD2018.Longitude location of institution	HD2018.Latitude location of institution	HD2018.Data Feedback Report comparison group created by NCES	HD2018.Carnegie Classification 2018: Size and Setting	Size	IC2018.Calendar system	isIvy	State;HBC;Tribal;Ivy	Tuition	Tuition (in-state)	Description	Undergrad Enrollment
Anoka Ramsey Community College	Coon Rapids	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Suburb: Large	Suburb	-93.351697	45.172978	"Associate's Colleges: High Transfer-High Nontraditional, public/1 of 3"	"Two-year, large"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Riverland Community College	Austin	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Distant	Town	-92.995626	43.676271	"Associate's Colleges: High Transfer-High Nontraditional, public/2of 3"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Northwest Technical College	Bemidji	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-94.853974	47.452652	"Associate's Colleges: High Career & Technical-High Nontraditional, public /2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Central Lakes College Brainerd	Brainerd	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-94.214266	46.345863	"Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/2 of 4"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Dakota County Technical College	Rosemount	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Rural: Fringe	Rural	-93.07805	44.737255	"Associate's Colleges: High Career & Technical-High Traditional, public/2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Lake Superior College	Duluth	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Small	City	-92.145151	46.78455	"Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/2 of 4"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Minnesota State Community and Technical College	Fergus Falls	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-96.097321	46.289194	"Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/1 of 2"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Minnesota West Community and Technical College	Granite Falls	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-95.56172	44.80755	"Associate's Colleges: High Career & Technical-High Nontraditional, public /2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Hennepin Technical College	Brooklyn Park	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Suburb: Large	Suburb	-93.397759	45.096534	"Associate's Colleges: High Career & Technical-High Traditional, public/1 of 2"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Hibbing Community College	Hibbing	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-92.921698	47.422361	"Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
South Central College	North Mankato	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Small	City	-94.047428	44.174319	"Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/2 of 3"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Mesabi Range College	Virginia	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-92.549092	47.524561	"Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/4 of 4"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Minneapolis Community and Technical College	Minneapolis	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	City: Large	City	-93.284507	44.972679	"Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/2 of 4"	"Two-year, medium"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Northland Community and Technical College	Thief River Falls	Minnesota	At least 2 but less than 4 years	Public	"At least 2, but less than 4 academic yrs"	Associate's degree	Not applicable	No	No	Yes	Town: Remote	Town	-96.162366	48.124969	"Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/2 of 2"	"Two-year, small"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
